timestamp,equipment_id,equipment_name,label,vibration,temperature,current,pressure
2024-01-01 00:00:00,RM1,Rolling Mill #1,normal,2.985,70.365,45.514,4.534
2024-01-01 00:00:05,RM1,Rolling Mill #1,normal,1.514,72.74,47.005,4.255
2024-01-01 00:00:10,RM1,Rolling Mill #1,normal,2.325,75.051,40.158,4.585
2024-01-01 00:00:15,RM1,Rolling Mill #1,normal,2.478,72.414,41.292,4.588
2024-01-01 00:00:20,RM1,Rolling Mill #1,normal,1.86,69.401,46.277,4.664
2024-01-01 00:00:25,RM1,Rolling Mill #1,normal,1.658,74.044,39.567,4.254
2024-01-01 00:00:30,RM1,Rolling Mill #1,normal,2.695,64.937,40.268,4.753
2024-01-01 00:00:35,RM1,Rolling Mill #1,normal,2.306,75.979,40.592,4.365
2024-01-01 00:00:40,RM1,Rolling Mill #1,normal,3.045,74.734,38.093,4.436
2024-01-01 00:00:45,RM1,Rolling Mill #1,normal,2.519,74.426,39.887,4.507
2024-01-01 00:00:50,RM1,Rolling Mill #1,normal,2.528,73.465,40.288,4.621
2024-01-01 00:00:55,RM1,Rolling Mill #1,normal,2.848,68.443,42.98,4.675
2024-01-01 00:01:00,RM1,Rolling Mill #1,normal,2.837,63.49,43.972,4.927
2024-01-01 00:01:05,RM1,Rolling Mill #1,normal,2.581,66.274,40.476,4.634
2024-01-01 00:01:10,RM1,Rolling Mill #1,normal,1.956,71.576,43.621,4.512
2024-01-01 00:01:15,RM1,Rolling Mill #1,normal,2.833,76.349,44.638,4.247
2024-01-01 00:01:20,RM1,Rolling Mill #1,normal,2.07,72.566,41.281,4.408
2024-01-01 00:01:25,RM1,Rolling Mill #1,normal,2.621,68.089,39.021,4.347
2024-01-01 00:01:30,RM1,Rolling Mill #1,normal,1.916,72.333,40.03,4.547
2024-01-01 00:01:35,RM1,Rolling Mill #1,normal,2.434,67.746,41.795,4.325
2024-01-01 00:01:40,RM1,Rolling Mill #1,normal,2.789,71.78,43.122,4.308
2024-01-01 00:01:45,RM1,Rolling Mill #1,normal,2.376,74.362,45.273,4.347
2024-01-01 00:01:50,RM1,Rolling Mill #1,normal,1.562,68.87,46.785,4.433
2024-01-01 00:01:55,RM1,Rolling Mill #1,normal,2.734,69.613,42.758,4.291
2024-01-01 00:02:00,RM1,Rolling Mill #1,normal,1.486,65.383,39.027,5.133
2024-01-01 00:02:05,RM1,Rolling Mill #1,normal,1.546,72.236,38.077,4.727
2024-01-01 00:02:10,RM1,Rolling Mill #1,normal,2.687,74.947,45.174,4.827
2024-01-01 00:02:15,RM1,Rolling Mill #1,normal,2.223,69.524,39.441,4.297
2024-01-01 00:02:20,RM1,Rolling Mill #1,normal,2.54,69.843,43.797,4.821
2024-01-01 00:02:25,RM1,Rolling Mill #1,normal,1.892,74.649,39.835,4.831
2024-01-01 00:02:30,RM1,Rolling Mill #1,normal,1.735,77.873,44.471,4.278
2024-01-01 00:02:35,RM1,Rolling Mill #1,normal,2.791,68.625,42.798,4.318
